task_id,procedure_name,task_name,human_role,autonomy_role,interaction,time_init_action,time_end_action
0,idle,idle,performer,monitor,display_begin_button,0,5
1,Line-up and Hold,confirm_takeoff_clearance,perfomer,supporter,,0,5
2,Line-up and Hold,ali_run_cen,performer,monitor,,0,5
3,Line-up and Hold,check_winds,performer,supporter,display_winds_and_ack,0,ack
4,Line-up and Hold,hold_brakes,performer,monitor,,0,5
5,Takeoff - Normal,check_cas_clear,monitor,performer,display_cas,3,5
7,Takeoff - Normal,set_thrust,performer,monitor,,0,sense
8,Takeoff - Normal,check_fadec_bug_to,monitor,performer,display_fadec,3,3
9,Takeoff - Normal,check_engine_spool_evenly,monitor,performer,display_eng_spool_evenly,3,3
11,Takeoff - Normal,check_n1_percent,monitor,performer,display_n1_matches_command_bug,3,3
12,Takeoff - Normal,release_brakes,performer,monitor,,0,sense
13,Takeoff - Normal,"airspeed_alive",monitor,performer,,3,
14,Takeoff - Normal,"seventy_kts",monitor,performer,,3,
15,Takeoff - Normal,"v1",monitor,performer,,3,
16,Takeoff - Normal,"rotate",monitor,performer,,3,
18,Takeoff - Normal,maintain_pitch,performer,monitor,,3,
20,Takeoff - Normal,check_positive_rate,monitor,performer,,sense,
22,Takeoff - Normal,gear_up,performer,monitor,,3,sense
25,Takeoff - Emergency,announce_alarm,monitor,performer,display_alarm,3,3
27,Takeoff - Emergency,reset_master_warning,performer,monitor,,3,5
28,Takeoff - Emergency,set_fd_to_mode,monitor,performer,,3,
30,Takeoff - Emergency,check_lg_up,monitor,performer,display_l/g,3,3
31,Takeoff - Emergency,check_airspeed_v2,monitor,performer,display_airspeed,3,3
33,Takeoff - Emergency,"speed_mode_flc_v2_heading_mode",monitor,performer,display_set_speed,3,3
34,Takeoff - Emergency,contact_atc_emergency,performer,supporter,display_ATC_msg_and_buttons_mayday,sense,sense
35,Takeoff - Emergency,listen_atc,performer,monitor,,3,sense
37,Takeoff - Emergency,engage_autopilot,performer,supporter,display_engage_autopilot,5,sense
38,Takeoff - Emergency,check_v2_plus_twelve,monitor,performer,display_check_v2_plus_12,3,
40,Takeoff - Emergency,retract_flaps,performer,monitor,,3,sense
43,Engine Fire Emergency Procedure,throttle_affected_idle,performer,monitor,,3,sense
45,Engine Fire Emergency Procedure,start_chrono,monitor,performer,display_start_chrono,3,
46,Engine Fire Emergency Procedure,check_light_after_15_seconds,monitor,performer,display_chrono_15_s,15,5
47,Engine Fire Emergency Procedure,eng_fire_switch_lift_cover_and_push,performer,monitor,,3,5
48,Engine Fire Emergency Procedure,"cutoff",monitor,performer,,3,
50,Engine Fire Emergency Procedure,"affected_engine_fuel_boost_confirm_off_then_norm",monitor,performer,,3,
52,Engine Fire Emergency Procedure,fuel_boost_off,performer,monitor,,3,sense
53,Engine Fire Emergency Procedure,fuel_boost_norm,performer,monitor,,3,sense
54,Engine Fire Emergency Procedure,check_light_after_30_seconds,monitor,performer,display_chrono_30_s,3,5
55,Engine Fire Emergency Procedure,"thirty_seconds_light_remains_on_bottle_discharge",monitor,performer,,3,
56,Engine Fire Emergency Procedure,discharge,monitor,performer,,3,
57,Engine Fire Emergency Procedure,illuminated_bottle_armed_switch_push,performer,monitor,,3,5
58,Engine Fire Emergency Procedure,turn_rotary_test_knob,performer,monitor,,3,sense
59,Engine Fire Emergency Procedure,check_engine_fire_lights,performer,monitor,,3,5
60,Engine Fire Emergency Checklist,order_start_checklist,monitor,performer,display_checklist_emer_eng_fire_continue,3,5
61,Engine Fire Emergency Checklist,allocate_radio,performer,supporter,display_allocate_radio,10,
62,Engine Fire Emergency Checklist,retrieve_checklist,monitor,performer,display_checklist_emer_eng_fire,3,5
63,Engine Fire Emergency Checklist,check_immediate_action_items_done,performer,monitor,display_imm_act_check,3,
65,Engine Fire Emergency Checklist,contact_atc_vector,performer,supporter,display_ATC_msg_and_buttons_panpan,3,5
70,After takeoff normal procedure,announce_start_checklist,monitor,performer,display_checklist_aft_takeoff_continue,3,5
71,After takeoff normal procedure,retrieve_checklist_start,monitor,performer,display_checklist_aft_takeoff,3,5
72,After takeoff normal procedure,landing_gear_up,performer,monitor,,3,sense
73,After takeoff normal procedure,flap_handle_up,performer,monitor,,3,sense
74,After takeoff normal procedure,throttles_clb_detent,performer,monitor,,3,5
75,After takeoff normal procedure,yaw_damper_as_desired,performer,supporter,display_yaw_damper_prop,3,5
76,After takeoff normal procedure,deice_as_required,performer,supporter,display_deice_prop,3,5
77,After takeoff normal procedure,pax_safety_switch_as_required,performer,supporter,display_pax_safety_prop,3,5
78,After takeoff normal procedure,pressurization_check,performer,supporter,,3,5
79,After takeoff normal procedure,alti_set_std,monitor,performer,display_alti_set_std,3,3
80,After takeoff normal procedure,crosscheck_alti,performer,monitor,,3,5
81,After takeoff normal procedure,announce_checklist_completed,monitor,performer,,3,5
82,Engine failure/precautionary shutdown procedure and checklist,announce_start_checklist_retrieve,monitor,performer,display_checklist_eng_fail_proc_continue,3,5
83,Engine failure/precautionary shutdown procedure and checklist,retrieve_checklist_start_checklist,monitor,performer,display_checklist_eng_fail_proc,3,5
84,Engine failure/precautionary shutdown procedure and checklist,throttle_affected_engine_cutoff,performer,monitor, ,3,sense
85,Engine failure/precautionary shutdown procedure and checklist,caution_text_readout,monitor,performer,display_caution_text,3,15
86,Engine failure/precautionary shutdown procedure and checklist,gen_switch_affected_side_off,performer,monitor,,3,sense
87,Engine failure/precautionary shutdown procedure and checklist,ignition_switch_affected_side_norm,performer,monitor,,3,sense
88,Engine failure/precautionary shutdown procedure and checklist,electrical_load_reduce_as_required,performer,monitor,,3,5
89,Engine failure/precautionary shutdown procedure and checklist,fuel_transfer_knob_as_required,performer,monitor,,3,5
90,Engine failure/precautionary shutdown procedure and checklist,verify_engine_fire_switch_affected_side,performer,monitor,,3,5
91,Engine failure/precautionary shutdown procedure and checklist,"announce_current_checklist_completed",monitor,performer,display_checklist_sing_eng_app,3,3
92,Finish,finished,monitor,monitor,,3,0
